"selection1_team_1","selection1_team_2","selection1_team_2_url","selection1_score","selection1_score_url"
"San Jose Clash","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","1:0","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-d-c-united_2/"
"Los Angeles Galaxy","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-new-york-rb_2/"
"Columbus Crew","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","4:0","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-d-c-united_2/"
"Kansas City Wizards","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:0","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-colorado-rapids_2/"
"Tampa Bay Mutiny","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-new-england-revolution_2/"
"Dallas Burn","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","1:0 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-san-jose-earthquakes_2/"
"Dallas Burn","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","3:0","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-sporting-kansas-city_2/"
"Columbus Crew","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-tampa-bay-mutiny_2/"
"D.C. United","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-los-angeles-galaxy_2/"
"MetroStars","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-new-england-revolution_2/"
"San Jose Clash","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-sporting-kansas-city_2/"
"Colorado Rapids","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-fc-dallas_2/"
"New England Revolution","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:1 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-d-c-united_2/"
"MetroStars","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","0:2","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-columbus-crew_2/"
"Los Angeles Galaxy","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-san-jose-earthquakes_2/"
"Tampa Bay Mutiny","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-fc-dallas/"
"D.C. United","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-fc-dallas_2/"
"Kansas City Wizards","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","6:4","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-columbus-crew_2/"
"MetroStars","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","4:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-tampa-bay-mutiny_2/"
"New England Revolution","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-san-jose-earthquakes_2/"
"Los Angeles Galaxy","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-d-c-united/"
"Dallas Burn","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","1:0 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-columbus-crew_2/"
"Colorado Rapids","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","4:0","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-sporting-kansas-city_2/"
"San Jose Clash","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-colorado-rapids_2/"
"Tampa Bay Mutiny","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-sporting-kansas-city_2/"
"Columbus Crew","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-new-england-revolution_2/"
"Colorado Rapids","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-tampa-bay-mutiny_2/"
"Kansas City Wizards","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","2:3","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-fc-dallas_2/"
"D.C. United","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-new-york-rb_2/"
"San Jose Clash","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-los-angeles-galaxy_2/"
"D.C. United","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","5:2","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-columbus-crew_2/"
"MetroStars","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-colorado-rapids/"
"Tampa Bay Mutiny","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-san-jose-earthquakes/"
"Dallas Burn","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-d-c-united_2/"
"Los Angeles Galaxy","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-sporting-kansas-city_2/"
"New England Revolution","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-new-york-rb_2/"
"Columbus Crew","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:4","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-colorado-rapids_2/"
"Kansas City Wizards","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-new-york-rb_2/"
"Dallas Burn","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-tampa-bay-mutiny_2/"
"New England Revolution","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-colorado-rapids_2/"
"Los Angeles Galaxy","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-columbus-crew_2/"
"Colorado Rapids","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-fc-dallas/"
"San Jose Clash","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-sporting-kansas-city/"
"MetroStars","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-d-c-united_2/"
"Kansas City Wizards","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-new-england-revolution_2/"
"San Jose Clash","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","3:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-columbus-crew/"
"Tampa Bay Mutiny","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-los-angeles-galaxy_2/"
"Dallas Burn","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-new-york-rb/"
"Colorado Rapids","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-d-c-united_2/"
"Kansas City Wizards","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","1:3","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-tampa-bay-mutiny/"
"D.C. United","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-san-jose-earthquakes/"
"New England Revolution","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","2:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-los-angeles-galaxy/"
"Tampa Bay Mutiny","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-colorado-rapids_2/"
"Columbus Crew","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","3:4 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-sporting-kansas-city_2/"
"Dallas Burn","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","4:1","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-san-jose-earthquakes/"
"MetroStars","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","0:4","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-los-angeles-galaxy_2/"
"Dallas Burn","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:1 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-colorado-rapids_2/"
"New England Revolution","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:1 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-sporting-kansas-city/"
"Los Angeles Galaxy","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","3:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-tampa-bay-mutiny/"
"MetroStars","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-san-jose-earthquakes_2/"
"MetroStars","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","1:0 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-fc-dallas_2/"
"Columbus Crew","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-colorado-rapids/"
"Kansas City Wizards","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","5:1","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-d-c-united/"
"Tampa Bay Mutiny","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","3:4 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-columbus-crew_2/"
"New England Revolution","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","1:4","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-fc-dallas_2/"
"San Jose Clash","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-d-c-united/"
"MetroStars","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-sporting-kansas-city/"
"Los Angeles Galaxy","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-colorado-rapids_2/"
"New England Revolution","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-columbus-crew_2/"
"Dallas Burn","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-sporting-kansas-city/"
"Columbus Crew","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","0:4","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-new-york-rb_2/"
"San Jose Clash","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","4:0","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-tampa-bay-mutiny_2/"
"Colorado Rapids","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-los-angeles-galaxy_2/"
"D.C. United","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-new-england-revolution_2/"
"Los Angeles Galaxy","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-new-england-revolution_2/"
"Tampa Bay Mutiny","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","4:1","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-columbus-crew/"
"Colorado Rapids","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-new-york-rb_2/"
"Dallas Burn","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:1 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-d-c-united/"
"San Jose Clash","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-new-england-revolution_2/"
"Kansas City Wizards","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-los-angeles-galaxy_2/"
"Colorado Rapids","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-columbus-crew/"
"D.C. United","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","6:1","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-fc-dallas/"
"Kansas City Wizards","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-colorado-rapids/"
"MetroStars","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-fc-dallas/"
"Columbus Crew","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-new-england-revolution/"
"D.C. United","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","1:0","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-tampa-bay-mutiny_2/"
"Dallas Burn","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","5:2","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-los-angeles-galaxy_2/"
"Colorado Rapids","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-san-jose-earthquakes_2/"
"Tampa Bay Mutiny","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-sporting-kansas-city/"
"New England Revolution","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-d-c-united/"
"Columbus Crew","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","3:4","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-san-jose-earthquakes_2/"
"Kansas City Wizards","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-fc-dallas/"
"Los Angeles Galaxy","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","3:0","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-new-york-rb/"
"Colorado Rapids","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","1:3","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-tampa-bay-mutiny/"
"San Jose Clash","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","0:1","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-new-york-rb/"
"Colorado Rapids","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-new-england-revolution/"
"Columbus Crew","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","1:0","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-tampa-bay-mutiny/"
"Kansas City Wizards","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","4:2","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-new-england-revolution/"
"Dallas Burn","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:0","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-colorado-rapids/"
"Tampa Bay Mutiny","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","4:3","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-los-angeles-galaxy/"
"D.C. United","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-columbus-crew/"
"MetroStars","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","4:1","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-san-jose-earthquakes/"
"New England Revolution","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-san-jose-earthquakes/"
"Columbus Crew","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-fc-dallas/"
"D.C. United","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:3","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-sporting-kansas-city_2/"
"Colorado Rapids","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","2:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-los-angeles-galaxy/"
"Tampa Bay Mutiny","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-colorado-rapids/"
"New England Revolution","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","2:1 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-new-york-rb/"
"D.C. United","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:4","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-sporting-kansas-city/"
"Los Angeles Galaxy","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-columbus-crew/"
"Colorado Rapids","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","4:2","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-sporting-kansas-city/"
"Tampa Bay Mutiny","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","1:3","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-d-c-united_2/"
"Los Angeles Galaxy","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","1:0","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-new-england-revolution/"
"Dallas Burn","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-tampa-bay-mutiny/"
"Columbus Crew","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","3:2","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-d-c-united/"
"San Jose Clash","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","6:1","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-new-england-revolution/"
"Kansas City Wizards","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","3:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-los-angeles-galaxy/"
"Colorado Rapids","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","0:2","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-new-york-rb/"
"MetroStars","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","4:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-new-england-revolution/"
"Dallas Burn","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:3 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-columbus-crew/"
"Kansas City Wizards","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","4:1","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-san-jose-earthquakes_2/"
"New England Revolution","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-colorado-rapids/"
"Tampa Bay Mutiny","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-new-york-rb_2/"
"D.C. United","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-los-angeles-galaxy/"
"Columbus Crew","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-san-jose-earthquakes/"
"MetroStars","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","2:3","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-d-c-united/"
"Los Angeles Galaxy","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-sporting-kansas-city/"
"New England Revolution","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","4:2","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-tampa-bay-mutiny_2/"
"San Jose Clash","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","1:0 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-fc-dallas_2/"
"Columbus Crew","Kansas City Wizards","http://usa.worldfootball.net/teams/sporting-kansas-city/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-sporting-kansas-city/"
"San Jose Clash","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","1:0","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-colorado-rapids/"
"Los Angeles Galaxy","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","2:3","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-fc-dallas_2/"
"D.C. United","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","3:0","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-tampa-bay-mutiny/"
"Columbus Crew","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","2:0","http://usa.worldfootball.net/report/major-league-soccer-1996-columbus-crew-los-angeles-galaxy/"
"Colorado Rapids","D.C. United","http://usa.worldfootball.net/teams/d-c-united/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-d-c-united/"
"Tampa Bay Mutiny","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-tampa-bay-mutiny-new-england-revolution/"
"Kansas City Wizards","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","3:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-new-york-rb/"
"San Jose Clash","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","1:2 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-san-jose-earthquakes-los-angeles-galaxy/"
"MetroStars","Tampa Bay Mutiny","http://usa.worldfootball.net/teams/tampa-bay-mutiny/","0:2","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-tampa-bay-mutiny/"
"New England Revolution","Dallas Burn","http://usa.worldfootball.net/teams/fc-dallas/","2:1","http://usa.worldfootball.net/report/major-league-soccer-1996-new-england-revolution-fc-dallas/"
"Los Angeles Galaxy","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","0:1 n.P.","http://usa.worldfootball.net/report/major-league-soccer-1996-los-angeles-galaxy-colorado-rapids/"
"D.C. United","MetroStars","http://usa.worldfootball.net/teams/new-york-rb/","1:2","http://usa.worldfootball.net/report/major-league-soccer-1996-d-c-united-new-york-rb/"
"Kansas City Wizards","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","1:5","http://usa.worldfootball.net/report/major-league-soccer-1996-sporting-kansas-city-columbus-crew/"
"Dallas Burn","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","0:2","http://usa.worldfootball.net/report/major-league-soccer-1996-fc-dallas-new-england-revolution/"
"Colorado Rapids","San Jose Clash","http://usa.worldfootball.net/teams/san-jose-earthquakes/","1:3","http://usa.worldfootball.net/report/major-league-soccer-1996-colorado-rapids-san-jose-earthquakes/"
"MetroStars","Los Angeles Galaxy","http://usa.worldfootball.net/teams/los-angeles-galaxy/","3:1","http://usa.worldfootball.net/report/major-league-soccer-1996-new-york-rb-los-angeles-galaxy/"
